sim_time,sys_total_wait_time
2465.0,16279.0
2470.0,16571.0
2475.0,16708.0
2480.0,16875.0
2485.0,17637.0
2490.0,18087.0
2495.0,17966.0
2500.0,18525.0
2505.0,19133.0
2510.0,19692.0
2515.0,19956.0
2520.0,20592.0
2525.0,21199.0
2530.0,21865.0
2535.0,22263.0
2540.0,22143.0
2545.0,22371.0
2550.0,22629.0
2555.0,23521.0
2560.0,19172.0
2565.0,16817.0
2570.0,16733.0
2575.0,17433.0
2580.0,18373.0
2585.0,18410.0
2590.0,18565.0
2595.0,19125.0
2600.0,19147.0
2605.0,20054.0
2610.0,20534.0
2615.0,20747.0
2620.0,21569.0
2625.0,22415.0
2630.0,23251.0
2635.0,21372.0
2640.0,21828.0
2645.0,21506.0
2650.0,22476.0
2655.0,22966.0
2660.0,19426.0
2665.0,19677.0
2670.0,18423.0
2675.0,18481.0
2680.0,18681.0
2685.0,19183.0
2690.0,19210.0
2695.0,18676.0
2700.0,19315.0
2705.0,19755.0
2710.0,20238.0
2715.0,14983.0
2720.0,13551.0
2725.0,14148.0
2730.0,14565.0
2735.0,14881.0
2740.0,15535.0
2745.0,16348.0
2750.0,16922.0
2755.0,17432.0
2760.0,17744.0
2765.0,17831.0
2770.0,17708.0
2775.0,18197.0
2780.0,17550.0
2785.0,18259.0
2790.0,19415.0
2795.0,20636.0
2800.0,20616.0
2805.0,21297.0
2810.0,20084.0
2815.0,20247.0
2820.0,20571.0
2825.0,20662.0
2830.0,21355.0
2835.0,21747.0
2840.0,22050.0
2845.0,21713.0
2850.0,22203.0
2855.0,22763.0
2860.0,23272.0
2865.0,23799.0
2870.0,24562.0
2875.0,25435.0
2880.0,26313.0
2885.0,25065.0
2890.0,25320.0
2895.0,26000.0
2900.0,26906.0
2905.0,27764.0
2910.0,28036.0
2915.0,28791.0
2920.0,29453.0
2925.0,30587.0
2930.0,30477.0
2935.0,29991.0
2940.0,29770.0
2945.0,29570.0
2950.0,30021.0
2955.0,26324.0
2960.0,23962.0
2965.0,24082.0
2970.0,24785.0
2975.0,25403.0
2980.0,26289.0
2985.0,26461.0
2990.0,27315.0
2995.0,28142.0
3000.0,28075.0
